Vip,FC,log2FC,ConcordGroup,logp,p,type,A,comp,log2Dry,log2Wet
0.215040079,1.025725349,0.036644482,3,0.264692341,0.832376223,insig,no,COG5434,12.16563077,12.12898629
0.820095173,1.025547786,0.036394716,3,0.501042464,0.706596024,insig,no,COG0018,11.18673473,11.15034002
0.399626987,1.025524884,0.036362499,3,0.220495654,0.858270517,insig,no,COG1749,12.26543974,12.22907724
0.47752643,1.025441795,0.036245605,3,0.244799225,0.843933235,insig,no,COG1051,10.31801408,10.28176847
0.254982766,1.025376185,0.036153296,3,0.067939569,0.95399951,insig,no,COG4636,11.4879901,11.4518368
0.706003126,1.025245804,0.035969839,3,0.33478913,0.792900022,insig,no,COG4252,12.64204945,12.60607961
0.258800274,1.025244505,0.035968012,3,0.304915097,0.809489854,insig,no,COG3346,12.09331135,12.05734334
0.605365268,1.024580263,0.035033005,3,0.123909244,0.91769761,insig,no,COG0601,10.81825719,10.78322419
0.437020926,1.024559093,0.035003196,3,0.136981442,0.90941995,insig,no,COG1020,11.36076337,11.32576018
0.613140548,1.024479367,0.034890929,3,0.684120466,0.622385146,insig,no,COG1219,11.21854918,11.18365825
0.245467781,1.024430763,0.034822482,3,0.342329262,0.788766802,insig,no,COG0225,11.22715928,11.19233679
0.268560809,1.024115352,0.034378223,3,0.334962882,0.792804534,insig,no,COG0486,11.75328019,11.71890196
0.570086657,1.023803817,0.033939291,3,0.417675117,0.74863006,insig,no,COG1587,12.13732948,12.10339019
0.572532038,1.023531263,0.03355517,3,0.148511666,0.902180704,insig,no,COG1028,7.816838469,7.7832833
0.481531096,1.023033795,0.032853804,3,0.707146985,0.612530257,insig,no,COG1674,10.84507138,10.81221758
0.298951692,1.022774611,0.032488254,3,0.326458979,0.797491485,insig,no,COG1995,12.10385877,12.07137051
0.418007331,1.021818349,0.031138748,3,0.380544696,0.768147518,insig,no,COG0361,11.60063287,11.56949413
0.662281468,1.021391276,0.030535642,3,0.477198508,0.718371237,insig,no,COG0532,10.91094803,10.88041239
0.493899144,1.021188967,0.030249856,3,0.080441237,0.945768346,insig,no,COG0687,11.70809099,11.67784114
0.568595741,1.020989186,0.029967586,3,0.15874892,0.895801558,insig,no,COG2982,11.94376454,11.91379695
0.240324396,1.020522525,0.029308026,3,0.38400763,0.766305927,insig,no,COG0333,12.01324316,11.98393514
0.22835998,1.020498405,0.029273928,3,0.172995971,0.886998782,insig,no,COG2177,12.42660343,12.39732951
0.632843898,1.02031749,0.029018142,3,0.341270931,0.789345638,insig,no,COG0343,11.48803071,11.45901256
0.313392773,1.020259833,0.028936616,3,0.458434888,0.72777536,insig,no,COG0499,11.20172965,11.17279304
0.44330643,1.020257695,0.028933591,3,0.159549589,0.895304543,insig,no,COG0708,11.07158909,11.04265549
0.549592329,1.020233351,0.028899168,3,0.143198245,0.905509545,insig,no,COG1357,11.39498175,11.36608259
0.175155308,1.019878038,0.028396638,3,0.264641089,0.832405794,insig,no,COG0774,12.15191487,12.12351823
0.390134935,1.019837299,0.028339008,3,0.351249098,0.783905092,insig,no,COG0479,11.44307846,11.41473946
0.203195385,1.019571809,0.027963388,3,0.325538733,0.79800034,insig,no,COG1905,11.917124,11.88916062
0.339550555,1.019384785,0.027698726,3,0.456105751,0.728951255,insig,no,COG0597,11.79373617,11.76603745
0.512302144,1.019183427,0.027413723,3,0.280307443,0.823415526,insig,no,COG0717,11.82316016,11.79574644
0.493932186,1.019080366,0.027267828,3,0.596705035,0.661262486,insig,no,COG0542,9.732443473,9.705175645
0.370766655,1.019053736,0.027230129,3,0.510840134,0.701813627,insig,no,COG0441,11.02426686,10.99703674
0.519913094,1.018395363,0.026297755,3,0.088215934,0.940685301,insig,no,COG2185,11.69461872,11.66832097
0.541499165,1.017761831,0.025399992,3,0.092322748,0.938011329,insig,no,COG1652,13.18382672,13.15842672
0.649340935,1.017734583,0.025361367,3,0.221922843,0.857421892,insig,no,COG1409,10.68409956,10.6587382
0.404823796,1.016785479,0.024015332,3,0.271315416,0.828563736,insig,no,COG1146,11.57885594,11.55484061
0.211598738,1.016710285,0.023908637,3,0.234663229,0.849883366,insig,no,COG0152,11.68509777,11.66118914
