"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",6.03398973446662,0.101710701770657,12.7195610621039,59.325023123647,6.32822343929748e-17
"TN",-0.461179850051624,0.129874768293882,81.3659990508782,-3.55095801986773,0.000641398505803153
"WT",0.0395016759051186,0.0958724961477074,81.3143367748483,0.412023025292465,0.681406701610033
"Chl.a",-0.171416382037923,0.0967801679984296,85.9761821028939,-1.77119326803302,0.0800723126571338
"TDS",-0.743335775482317,0.279670802898802,79.769567265412,-2.65789552494434,0.0094968207081135
"WL",-0.897701886118485,0.263103720069461,82.1796551359268,-3.41196956805281,0.00100295752736838
