"","Unique","Average.share","Individual","I.perc(%)"
"TN",0.0931,0.0334,0.1265,47.15
"WT",-2e-04,0.0077,0.0075,2.8
"Chl.a",0.0205,-0.0011,0.0194,7.23
"TDS",0.0588,-0.0039,0.0549,20.46
"WL",0.094,-0.034,0.06,22.36
